organisation,documentation-url,resource-url,data-gov-uk,start-date,end-date,esd-dataset
local-authority-eng:DOV,,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register-csv.csv,,,2019-10-20,
local-authority-eng:DOV,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Brownfield-Register.aspx,https://www.dover.gov.uk/Planning/Planning-Policy-and-Regeneration/Regeneration-and-Development-Opportunities/Dover-Brownfield-Register-2018.csv,,,,
local-authority-eng:DST,https://www.dorsetcouncil.gov.uk/planning-buildings-land/planning-policy/planning-policy.aspx,,,,,
local-authority-eng:DUD,https://www.dudley.gov.uk/residents/planning/brownfield-land-register/,http://www.dudley.gov.uk/EasysiteWeb/getresource.axd?AssetID=290865&type=full&servicetype=Attachment,8fa1c3f2-5598-4615-900a-0a8c69901b47,,2019-11-18,
local-authority-eng:DUD,https://www.dudley.gov.uk/residents/planning/brownfield-land-register/,https://www.dudley.gov.uk/media/6155/dudley_brownfieldregister_2017-12-21_rev1.csv,215ecd19-b56f-49d2-af84-84bd97299d46,2019-11-19,,
local-authority-eng:DUR,,https://files.datapress.com/leeds/dataset/brownfield-sites/2017-11-28T11:16:49.69/county-durham_brownfieldregister_2017-12-01_rev1.csv,,,,
local-authority-eng:EAL,,https://www.ealing.gov.uk/download/downloads/id/12723/ealings_brownfield_land_register_version_1.csv,,,,
local-authority-eng:EAS,https://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,http://www.lewes-eastbourne.gov.uk/_resources/assets/inline/full/0/263226.csv,,,2019-11-24,
local-authority-eng:EAS,https://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,https://www.lewes-eastbourne.gov.uk/_resources/assets/inline/full/0/276259.csv,58b7d746-6d5d-45bf-a016-1084d2ba097a,2017-12-21,,
local-authority-eng:EAT,https://www.eastleigh.gov.uk/planning-and-building/planning-policy-and-implementation/brownfield-land-register,https://www.eastleigh.gov.uk/media/2243/eastleigh2017-12-211-2.csv,,,,
local-authority-eng:ECA,https://www.eastcambs.gov.uk/local-development-framework/brownfield-land-register,https://www.eastcambs.gov.uk/sites/default/files/East_Cambridgeshire_District_Council_brownfieldregister_2017-12-12_rev1.csv,858069dc-2de7-4299-b7be-44b0d332bd0c,2017-12-12,,
