MBC Brownfield Land Register (2019) : Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR reference,URI,Local authority name,Site reference,Other reference,Source of the Site,Site Name,Address 1,Address 2,Coordinate referencing system,Easting,Northing,Site area (ha),Ownership status,Deliverable,Planning status,Permission type,Date granted,Description of the development,No. of dwellings granted (net),Min dwellings,Max dwellings,Non housing development,Under construction at 1 April 2018,Date first entered on the register,Date last updated on the register,,,,
BLR0062,Maidstone E07000110,Maidstone,16/507096,,Extant consent,"Kent House, ",Beaver Road,"Allington, Maidstone, Kent, ME16 0XR",Cartesian,573642,157213,0.3,Not owned by a public authority,Yes,completed,full planning permission,09/12/2016,Residential development comprising of eight detached and semi detached dwellings plus ancillary works.,8,8,8,None,Yes,Dec-17,Jun-18,,,,
BLR0063,Maidstone E07000110,Maidstone,16/506233,,Extant consent,"The Lodge, ",London Road,"Maidstone, Kent, ME16 0LP",Cartesian,573684,157310,1.3,Not owned by a public authority,Yes,completed,reserved matters,14/10/2016,"Approval of reserved matters application for layout, appearance and landscaping following Outline approval 14/503493 for the erection of 9 (no.) dwellings.",8,8,8,None,No,Dec-17,Jun-18,,,,
BLR0064,Maidstone E07000110,Maidstone,11/0511,,Extant consent,"Wierton Place, ","Wierton Road,","Boughton Monchelsea, Maidstone, Kent, ME17 4JW",Cartesian,578191,149859,3.79,Not owned by a public authority,Yes,permissioned,full planning permission,14/11/2016,"Change of use of existing nightclub and apartments to 1 dwelling and 6 apartments, including extensions; conversion of the existing ball room to 2 dwellings, including extensions; demolition of existing garage block and erection of 4 terraced properties; ",8,8,8,None,Yes,Dec-17,,,,,
BLR0065,Maidstone E07000110,Maidstone,16/503822,,Extant consent,"The Kings Arms Public House, ",High Street,"Headcorn, Kent, TN27 9NH",Cartesian,583321,144233,0.1,Not owned by a public authority,Yes,completed,full planning permission,10/02/2017,"Erection of detached dwelling in rear garden. Conversion and change of use of existing ground floor former public house, accommodation wing and upper floor flat to 8No residential apartments, including internal and external alterations. Subdivide ground floor to retain 2No retail units. New parking and landscaping.",8,8,8,2 retail units,Yes,Dec-17,May-19,,,,
BLR0066,Maidstone E07000110,Maidstone,16/501974,,Extant consent,"Rear of, 11/13"," Albion Place,","Maidstone, Kent, ME14 5DY",Cartesian,576505,155825,0.05,Not owned by a public authority,Yes,completed,full planning permission,29/04/2016,"Approval of Reserved Matters (Landscaping) following planning planning application 15/509547 - Outline (access, appearance, layout and scale not reserved) - Erection of 3 storey building containing 8 flats, and access to car park with 6 car spaces, bin and cycle stores",8,8,8,None,Yes,Dec-17,Jun-18,,,,
BLR0067,Maidstone E07000110,Maidstone,14/505333,,Expired consent,"Royal Star Arcade, ",High Street,"Maidstone, Kent, ME14 1JL",Cartesian,575964,155791,0.39,Not owned by a public authority,Yes,not permissioned,,,,,8,8,None,No,Dec-17,May-19,,,,
BLR0068,Maidstone E07000110,Maidstone,16/501618,,Extant consent,,36 Melville Road,"Maidstone, Kent, ME15 7UR",Cartesian,576387,155267,0.04,Not owned by a public authority,Yes,completed,full planning permission,03/05/2016,"Change of use, conversion and extension of existing building to form 8 Residential units",8,8,8,None,Yes,Dec-17,May-19,,,,
BLR0069,Maidstone E07000110,Maidstone,16/501956,,Extant consent,"Star House, ",Pudding Lane,"Maidstone, Kent, ME14 1LT",Cartesian,575920,155781,0.07,Not owned by a public authority,Yes,permissioned,full planning permission,03/06/2016,Erection of rear extension at 4th floor level and creation of 5th floor to provide eight flats.,8,8,8,None,No,Dec-17,,,,,
BLR0070,Maidstone E07000110,Maidstone,16/507276,,Extant consent,,239 Boxley Road,"Maidstone, Kent, ME14 2BG",Cartesian,576326,156829,0.05,Not owned by a public authority,Yes,completed,full planning permission,07/12/2016,Change of use of residential institution (C2) to 7 no. residential flats and 1 no. bedsit flat (C3).,8,8,8,None,Yes,Dec-17,May-19,,,,
BLR0071,Maidstone E07000110,Maidstone,12/0922,,Expired consent,"Iden Park Service Station , ",Cranbrook Road,"Staplehurst, Kent, TN12 0EJ",Cartesian,578609,142635,0.4,Not owned by a public authority,Yes,not permissioned,,,,,8,8,None,No,Dec-17,Jun-18,,,,
