EASTING,NORTHING,SITENAME,COORDREFER,HECTARES,PLANSTATUS,PLANHISTOR,OWNERSHIP,NOTES,FIRSTADDED,LASTUPDATE,LATITUDE,LONGITUDE,ORGANISATI,ORGANISA_1,PREVIOUSLY,SITEPLANUR,DELIVERABL,PERMTYPE,PERMDATE,PROPFORPIP,MINNETDWEL,DEVDESCR,NONHOUSING,SITEINFORM,PART2,NETRANGEFR,NETRANGETO,SITEREF,HAZSUB,SHAPE_AREA,SHAPE_LEN
"365,303.15","400,262.10",82 Railway Road Leigh WN7 4AN,OSGB36,0.03,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365003.14894458,400412.09813312,365603.14894458,400112.09813312,27700",Not owned by a public authority,A/16/83125 refers,31/07/2017, ,53.497921,-2.524503,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0383",Yes,Other (PDO),15/12/2016, ,12,"Change of use from B1a to 12 one bedroomed apartments""""", , , , , ,SHLAA0383,,259.6074065,68.44435256
"367,280.98","403,515.28",Ena Mill Flapper Fold Lane Atherton Manchester M46 0HB,OSGB36,1.48,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=366980.97652146,403665.28003465,367580.97652146,403365.28003465,27700",Not owned by a public authority,A/16/82164 refers,31/07/2017, ,53.527289,-2.495031,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0370",Yes,Full planning permission,20/01/2017, ,44,"Conversion to 4 one bedroomed and 40  two bedroomed apartments""""", , , , , ,SHLAA0370,,"14,763.42",557.3782026
"359,326.58","404,544.76",Eastdale Old Hall Street Ince Wigan WN3 4QR,OSGB36,0.33,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359026.58095289,404694.75691018,359626.58095289,404394.75691018,27700",Not owned by a public authority,A/16/82649 refers,31/07/2017, ,53.535983,-2.615149,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0392",Yes,Full planning permission,21/11/2016, ,17,"Erect 2 two bedroomed and 15 three bedroomed dwellings""""", , , , , ,SHLAA0392,,"3,338.18",234.9187595
"358,142.67","406,237.28",3 Bridgeman Terrace Wigan WN1 1SX,OSGB36,0.02,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357842.67443676,406387.28258391,358442.67443676,406087.28258391,27700",Not owned by a public authority,A/16/82100 refers,31/07/2017, ,53.551101,-2.633238,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0366",Yes,Other (PDO),09/05/2016, ,6,"Change of use from B1a to 4 one bedroomed 1 two bedroomed apartment and 1 one bedroomed studio apartment""""", , , , , ,SHLAA0366,,160.0125,58.29589638
"365,706.54","400,212.99",Carriages Funeral Service 5 Market Street Leigh WN7 1ED,OSGB36,0.02,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365406.54411737,400362.99335058,366006.54411737,400062.99335058,27700",Not owned by a public authority,A/16/82441 refers,31/07/2017, ,53.497506,-2.518417,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0369",Yes,Full planning permission,29/06/2016, ,8,"Change of use from A1 and A2 to 10 one bedroomed apartments""""", , , , , ,SHLAA0369,,246.19725,98.54182462
"365,295.21","400,265.27",84 Railway Road Leigh WN7 4AN,OSGB36,0.01,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364995.20560128,400415.27333874,365595.20560128,400115.27333874,27700",Not owned by a public authority,A/16/83150,31/07/2017, ,53.497949,-2.524623,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0384",Yes,Other (PDO),15/12/2016, ,8,"Change of use from B1a to 8 one bedroomed apartments""""", , , , , ,SHLAA0384,,132.57375,57.47784547
"365,684.08","400,722.75",The Dairy  2 Chadwick Street Leigh WN7 1RR,OSGB36,0.02,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365384.07899466,400872.75305331,365984.07899466,400572.75305331,27700",Not owned by a public authority,A/16/83300 refers,31/07/2017, ,53.502087,-2.518812,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0380",Yes,Full planning permission,06/02/2017, ,9,"Erect 9 one bedroomed apartments""""", , , , , ,SHLAA0380,,203.550821,66.84502596
"356,449.42","406,591.57",Land off Whitworth Way Wigan,OSGB36,3.66,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356149.42031853,406741.57148275,356749.42031853,406441.57148275,27700",Not owned by a public authority,A/14/79464 refers,01/04/2016,22/11/2017,53.554148,-2.658842,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0107",Yes,Outline planning permission,21/11/2017, ,130,"Erect 27 two bedroomed 66 three bedroomed and 37 four bedroomed dwellings""""", , , , , ,SHLAA0107,,"36,586.05","1,062.21"
"359,013.29","404,708.61",Harvey Street Ince,OSGB36,0.17,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358713.28911465,404858.6133841,359313.28911465,404558.6133841,27700",Not owned by a public authority,A/16/81892 Reserved Matters to A/13/77642 Outline,01/04/2016,31/07/2017,53.537431,-2.619897,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0196",Yes,Reserved matters permission,28/04/2016, ,11,"Erect 11 three bedroomed dwellings""""", , , , , ,SHLAA0196,,"1,697.71",223.3242526
"358,420.30","404,443.17",Westwood Park Wigan,OSGB36,28.93,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358120.29800526,404593.17162646,358720.29800526,404293.17162646,27700",Owned by public authority,A/12/77633 refers,01/04/2016, ,53.534999,-2.628809,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0134",Yes,Full planning permission,24/09/2015, ,430,"Erect 430 dwellings""""", , , , , ,SHLAA0134,,"289,264.94","2,793.50"
"358,053.63","399,348.35",Rockleigh Hotel 50 Bolton Road Ashton-in-Makerfield,OSGB36,0.3,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357753.62891435,399498.35444186,358353.62891435,399198.35444186,27700",Not owned by a public authority, ,01/04/2016, ,53.489178,-2.633657,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0026", , , , ,16, , , , , , ,SHLAA0026,,"2,969.07",242.6052199
"360,424.65","405,155.97",Land at former Park Inn public house Manchester Road Higher Ince,OSGB36,0.31,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360124.64800567,405305.97239347,360724.64800567,405005.97239347,27700",Not owned by a public authority, ,01/04/2016, ,53.541561,-2.598659,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0110", , , , ,9, , , , , , ,SHLAA0110,,"3,108.44",280.2697195
"360,712.88","402,729.99","Land at Woodcock Drive, Platt Bridge",OSGB36,0.4,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360412.8823598,402879.99485736,361012.8823598,402579.99485736,27700",Owned by public authority, ,31/07/2017, ,53.519778,-2.594005,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0087", , , , ,12, , , , , , ,SHLAA0087,,"4,012.42",423.3306457
"366,088.76","402,278.07","Land to west of Lovers Lane, Howe Bridge, Atherleigh",OSGB36,3.11,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365788.7558694,402428.07071699,366388.7558694,402128.07071699,27700",Owned by public authority, ,31/07/2017, ,53.516093,-2.51288,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0048", , , , ,42, , , , , , ,SHLAA0048, ,"31,092.04",883.6756301
"366,924.51","403,609.00","Albion Inn, 189 Bag Lane, Atherton",OSGB36,0.12,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=366624.51097277,403759.00168894,367224.51097277,403459.00168894,27700",Not owned by a public authority, ,31/07/2017, ,53.528109,-2.500418,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0144", , , , ,9, , , , , , ,SHLAA0144, ,"1,189.54",138.3502648
"362,946.21","399,831.75",Land between Crankwood Road and Leeds/Liverpool Canal,OSGB36,1.31,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=362646.20572034,399981.7464369,363246.20572034,399681.7464369,27700",Mixed ownership, ,31/07/2017, ,53.493891,-2.55998,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0043", , , , ,40, , , , , , ,SHLAA0043, ,"13,116.88",630.4012694
"356,415.37","404,913.03",Land to rear of 17-51 Heather Grove,OSGB36,0.82,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356115.36816348,405063.02811542,356715.36816348,404763.02811542,27700",Mixed ownership, ,31/07/2017, ,53.539058,-2.659122,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0028", , , , ,25, , , , , , ,SHLAA0028, ,"8,205.96",593.7347918
"363,410.36","397,605.32","The Bungalow, Pocket Nook Lane, Lowton",OSGB36,1.07,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=363110.36359032,397755.31649432,363710.36359032,397455.31649432,27700",Not owned by a public authority, ,31/07/2017, ,53.473913,-2.552724,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0204", , , , ,38, , , , , , ,SHLAA0204, ,"10,735.64",454.0105675
"358,445.74","405,556.83",Development South Of Millgate Multi Storey Car Park Millgate,OSGB36,0.22,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358145.74308038,405706.83107687,358745.74308038,405406.83107687,27700",Owned by public authority, ,31/07/2017, ,53.54501,-2.628573,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0349", , , , ,120, , , , , , ,SHLAA0349, ,"2,184.02",202.0405215
"365,310.73","400,130.51",Wigan and Leigh College Boughey Street Leigh,OSGB36,0.22,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365010.73319846,400280.50720708,365610.73319846,399980.50720708,27700",Not owned by a public authority, ,31/07/2017, ,53.496739,-2.524374,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0199", , , , ,22, , , , , , ,SHLAA0199, ,"2,178.93",192.7537057
"365,956.66","403,039.78",Hindleys Farm Wigan Road Atherton,OSGB36,0.61,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365656.65515227,403189.77714875,366256.65515227,402889.77714875,27700",Not owned by a public authority, ,31/07/2017, ,53.52293,-2.514955,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0265", , , , ,18, , , , , , ,SHLAA0265, ,"6,149.03",406.5410856
"365,103.90","401,490.32",Land at Parsonage Farm and Garage Westleigh Lane,OSGB36,0.69,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364803.89609733,401640.31740779,365403.89609733,401340.31740779,27700",Not owned by a public authority, ,31/07/2017, ,53.508947,-2.527644,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0239", , , , ,18, , , , , , ,SHLAA0239, ,"6,917.59",475.1864006
"365,567.14","401,573.97","Land at Briar Grove, Leigh",OSGB36,0.37,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365267.14144138,401723.97073707,365867.14144138,401423.97073707,27700",Owned by public authority, ,31/07/2017, ,53.50973,-2.520668,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0339", , , , ,11, , , , , , ,SHLAA0339,,"3,730.50",290.3483953
"365,332.87","400,187.60","Wigan and Leigh College, Railway Road, Leigh",OSGB36,0.23,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=365032.87063781,400337.59946785,365632.87063781,400037.59946785,27700",Not owned by a public authority, ,31/07/2017, ,53.497253,-2.524047,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0147", , , , ,24, , , , , , ,SHLAA0147, ,"2,313.09",199.438098
"359,689.81","404,636.64","Council depot, Christopher Street, Ince",OSGB36,0.92,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=359389.80637717,404786.6396788,359989.80637717,404486.6396788,27700",Owned by public authority, ,31/07/2017, ,53.536837,-2.60968,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0098", , , , ,28, , , , , , ,SHLAA0098,,"9,160.26",447.3295966
"362,493.15","404,831.59",Castle Hill Hindley,OSGB36,1.8,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=362193.14958076,404981.589754,362793.14958076,404681.589754,27700",Owned by public authority, ,31/07/2017, ,53.538798,-2.567409,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0104", , , , ,48, , , , , , ,SHLAA0104,,"18,013.97",775.751374
"360,588.88","402,404.42","Land north of Bickershaw Lane, Platt Bridge",OSGB36,1.23,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360288.87722365,402554.41963729,360888.87722365,402254.41963729,27700",Not owned by a public authority,A/16/82818 refers,31/07/2017,04/10/2017,53.516842,-2.595834,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0051",Yes,Outline planning permission,07/08/2017, ,22,"Erect 22 dwellings""""", , , , , ,SHLAA0051, ,"12,271.93",515.3103054
"364,093.57","399,818.17","Westleigh Waterfront, Plank Lane, Leigh",OSGB36,20.81,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=363793.56518243,399968.16514801,364393.56518243,399668.16514801,27700",Owned by public authority,A/16/82492 refers,31/07/2017,04/10/2017,53.493849,-2.542685,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0045",Yes,Outline planning permission,20/07/2017, ,470,"Erect upto 470 dwellings""""", , , , , ,SHLAA0045,,"208,099.76","4,663.67"
"360,838.13","405,836.33",Hemfield Road Ince,OSGB36,0.53,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=360538.12537446,405986.33426175,361138.12537446,405686.33426175,27700",Not owned by a public authority,A/15/81539 refers,31/07/2017, ,53.547707,-2.592506,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0338", , , , ,16, , , , , , ,SHLAA0338, ,"5,256.71",372.0734463
"357,929.94","399,108.21",Former Gas Depot York Road Ashton-In-Makerfield,OSGB36,0.62,Pending decision,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=357629.93943389,399258.21239607,358229.93943389,398958.21239607,27700",Not owned by a public authority,A/15/80753 refers,31/07/2017, ,"53,487,010.00",-2.635489,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0325", , , , ,30, , , , , , ,SHLAA0325, ,"6,209.23",353.4459157
"364,606.99","402,864.58","Land West Of Tiverton Avenue, South Of Corner Lane",OSGB36,2.83,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364306.98633443,403014.57680954,364906.98633443,402714.57680954,27700",Not owned by a public authority,A/17/83509 Reserved Matters to A/12/76665 Outline,31/07/2017,04/10/2017,53.521266,-2.535292,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan,SHLAA0001," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0001B",Yes,Full planning permission,31/07/2017, ,99,"Erect 84 three bedroomed and 15 four bedroomed dwellings""""", , , , , ,SHLAA0001B,,"28,273.08","1,092.55"
"358,846.06","405,140.16","Heatons Bakery, Boundary Street, Wigan",OSGB36,0.36,Not permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358546.05960983,405290.16436073,359146.05960983,404990.16436073,27700",Not owned by a public authority, ,31/07/2017,04/10/2017,53.541297,-2.622477,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0192", , , , ,14, , , , , , ,SHLAA0192, ,"3,618.39",269.475053
"364,329.66","402,436.76","Northleigh, Hindley Green",OSGB36,52.27,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=363434.6575202,403103.75514975,365477.6575202,401579.75514975,27700",Not owned by a public authority,A/12/76665 refers,01/04/2016,31/07/2017,53.517402,-2.539426,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0001",Yes, Outline planning permission,28/02/2013, ,1539, , , , , , ,SHLAA0001,,"522,682.77","5,021.77"
"358,510.10","399,888.05",AB Little & Co (Stubshaw Cross) Ltd 2-4 Woods Lane Ashton,OSGB36,0.45,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=358210.09606737,400038.05154887,358810.09606737,399738.05154887,27700",Not owned by a public authority,A/16/83197 refers,31/07/2017, ,53.494065,-2.626849,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0214",Yes,Outline planning permission,06/12/2016, ,14,"Erect 14 dwellings""""", , , , , ,SHLAA0214,,"4,500.30",422.1295765
"369,051.46","399,874.65",Land At Marklands Farm Manchester Road Astley Tyldesley Manchester M29 7FB,OSGB36,0.33,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=368751.45560403,400024.65187657,369351.45560403,399724.65187657,27700",Not owned by a public authority,A/14/79689 refers,31/07/2017, ,53.494674,-2.467963,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0305",Yes,Outline planning permission,23/12/2014, ,5,"Erect 5 dwellings""""", , , , , ,SHLAA0305,,"3,312.64",296.1516304
"364,960.27","400,622.38","Parsonage, Leigh",OSGB36,6.3,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=364660.26969443,400772.3843912,365260.26969443,400472.3843912,27700",Not owned by a public authority,A/16/82975 Reserved Matters to A/14/79922 Outline,31/07/2017, ,53.501137,-2.529712,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0205",Yes,Reserved matters permission,21/02/2017, ,160,"Erect 41 two bedroomed 85 three bedroomed and 34 four or five bedroomed dwellings""""", , , , , ,SHLAA0205,,"63,042.71","1,221.20"
"354,580.79","404,257.71",Former Pembway Leopold Street Pemberton Wigan WN5 8JG,OSGB36,0.29,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=354280.78976377,404407.71183318,354880.78976377,404107.71183318,27700",Not owned by a public authority,A/13/78799 refers,31/07/2017, ,53.533013,-2.686707,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0302",Yes,Outline planning permission,28/10/2014, ,9,"Erect 9 dwellings""""", , , , , ,SHLAA0302,,"2,909.93",215.2396196
"356,726.35","403,747.55","Adjacent to 368 Warrington Road, Wigan",OSGB36,0.11,Permissioned,"https://wigan.maps.arcgis.com/apps/webappviewer/index.html?id=ce2e56afe2ad411bacfa8cb6706f8f84&extent=356426.35276523,403897.55183357,357026.35276523,403597.55183357,27700",Not owned by a public authority,A/14/79520 refers,31/07/2017, ,53.528609,-2.654269,Wigan Council,http://opendatacommunities.org/id/metropolitan-district-council/wigan, ," https://www.arcgis.com/apps/webappviewer/index.html?id=4c4af404cd73491b8cf8dba6fc465395&query=Wigan_Brownfield_2017_Rev_A_9008_0,SITEREF,SHLAA0208",Yes,Outline planning permission,03/09/2014, ,9,"Erect 9 dwellings""""", , , , , ,SHLAA0208,,"1,148.61",147.8478919
