OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_042,"Stadium Works, Oxenden Road, Tongham",,,https://www.guildford.gov.uk/media/26718/Stadium-Works-Oxenden-Road-Tongham/pdf/BFLR2017_042,0.1,not owned by a public authority,,permissioned,full planning permission,2017-09-20,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_177211,,,yes,"""Application ref. 17/P/00794""",2017-09-27,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_043,"White Lion Walk, High Street, Guildford",,,https://www.guildford.gov.uk/media/26719/White-Lion-Walk-High-Street-Guildford/pdf/BFLR2017_043,0.39,not owned by a public authority,,not permissioned,,,,50,50,,,2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_044,"111 Epsom Road, Guildford",,,https://www.guildford.gov.uk/media/26720/111-Epsom-Road-Guildford/pdf/BFLR2017_044,0.14,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=_GUILD_DCAPR_178201,6,6,yes,"""Application 17/P/01363 refused on 16 August 2017. Demolition of existing buildings and erection of a two and a half storey building containing 6no 2 bed flats and associated external works.""",2017-10-20,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_045,"Land off Easington Place, Guildford",,,https://www.guildford.gov.uk/media/26721/Land-off-Easington-Place-Guildford/pdf/BFLR2017_045,0.51,not owned by a public authority,,not permissioned,,,,10,10,yes,,2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_047,"13, Lower Edgeborough Road, Guildford, GU1 2DX",,,https://www.guildford.gov.uk/media/26723/13-Lower-Edgeborough-Road-Guildford-GU1-2DX/pdf/BFLR2017_047,0.13,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_173761,10,10,yes,"""Application 16/P/02070 dismissed at appeal (ref. APP/Y3615/W/17/3169598) - Erection of 14 flats (Decision issued 7 July 2017).""",2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_048,"Garage, 92 Send Road, Send, GU23 7EZ",,,https://www.guildford.gov.uk/media/26724/Garage-92-Send-Road-Send-GU23-7EZ/pdf/BFLR2017_048,0.16,not owned by a public authority,,not permissioned,,,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_176826,20,20,yes,"""Application 17/P/00566 refused on 27 June  2017 - Demolition of existing buildings and erection of 8 x dwellings. Site is PDL in the Green Belt""",2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_049,"HM Prison Send, Ripley Road, Send, GU23 7LJ",,,https://www.guildford.gov.uk/media/26725/HM-Prison-Send-Ripley-Road-Send-GU23-7LJ/pdf/BFLR2017_049,8.24,not owned by a public authority,,not permissioned,,,,150,150,,"""Site is PDL in the Green Belt""",2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_050,"Land at Oak Hill, Wood Street Village",,,https://www.guildford.gov.uk/media/26726/Land-at-Oak-Hill-Wood-Street-Village/pdf/BFLR2017_050,4.4,not owned by a public authority,,not permissioned,,,,22,22,yes,"""Part of site is PDL in the Green Belt; remainder is PDL within the current village inset boundary.""",2017-10-20,2017-10-20,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_051,"Dryden Court, Lower Edgeborough Road, Guildford",,,https://www.guildford.gov.uk/media/26727/Dryden-Court-Lower-Edgeborough-Road-Guildford/pdf/BFLR2017_051,0.12,not owned by a public authority,,permissioned,full planning permission,2018-12-23,http://www2.guildford.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=_GUILD_DCAPR_180903,,,yes,"""Application 18/P/00201 approved on 23 December 2018. Demolition of existing apartment building (4no. 2 bed units) and its replacement with a new three storey apartment building (6no. 2 bed units) with associated parking, cycle and bin stores.""",2017-10-20,2019-11-01,
http://opendatacommunities.org/id/district-council/guildford,Guildford,BLR_052,"Guildford Adult Education Centre, Sydenham Road, Guildford",,,https://www.guildford.gov.uk/media/26728/Guildford-Adult-Education-Centre-Sydenham-Road-Guildford/pdf/BFLR2017_052,0.41,owned by a public authority,,not permissioned,,,,15,15,,"""Site is owned by Surrey County Council which has indicated it is likely to become available within the period covered by the Submission Local Plan.""",2017-10-20,2018-12-03,
