OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
E06000041,Wokingham Borough Council,BR221,"Land At, Arborfield Garrison Biggs Lane Arborfield 
Parcel A-G",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,476418,165116,10.76087,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2016-11-23,161747,,223,Application for Reserved Matters for the erection of 223 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR222,"Land At, Arborfield Garrison Biggs Lane Arborfield 
Parcel T",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477724,165841,6.4022469,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2016-09-14,161536,,127,Application for Reserved Matters for the erection of 127 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR223,"North Wokingham - Matthewsgreen Farm, Phase 2a",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,480608,170188,4.6604524,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2016-08-01,160765,,82,Reserved Matters application pursuant to Outline planning consent O/2014/2242 for Phase 2a development involving the erection of 82 residential dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR224,S of M4 - Land North Of Hyde End Road Hyde End Road Shinfield RG2 9EP,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,472472,166621,1.6624331,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2017-08-15,161255,,31,"Full application for the proposed erection of 32no dwellings with associated vehicular access, parking and landscaping.",No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR225,"Land At, Arborfield Garrison Biggs Lane Arborfield 
Parcel O1",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,477522,165801,5.0545323,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2015-11-26,150162,,113,Reserved Matters application for the erection of 113 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR226,"S of M4 - North of Cutbush Lane, Shinfield",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,473634,168773,7.9667758,not owned by a public authority,Yes,permissioned,Reserved Matters Approval,2015-06-24,RM/2014/2561,,126,Reserved Matters application pursuant to Outline Planning Consent O/2013/0101for a residential development comprising up to 126 dwellings,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR227,Unit 3 Cutbush Court Danehill RG6 4UW .,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,474560,169661,1.9870454,not owned by a public authority,Yes,permissioned,full planning permission,2017-02-28,170086,,6,Prior approval submission for the conversion of existing office building (Use Class B1(a)) to 6no 1 bedroom residential flats (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR228,"Wellington House, Riseley Business Park Basingstoke Road Riseley RG71QF",http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,472223,163307,3.5669308,not owned by a public authority,Yes,permissioned,full planning permission,2016-06-21,161442,,9,Prior approval submission for the conversion of existing office building (Use Class B1(a)) to 9no residential apartments (Use Class C3).,No,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR229,Kingsbridge House Wargrave Road Twyford RG10 9NY,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,478735,176036,7.1530663,owned by a public authority,Yes,permissioned,full planning permission,2017-03-23,163224,,8,"Full Planning application for alterations to existing roof structure, facades and ground floor. Change of use on ground and first floor form offices and second floor from single flat to 8 self- contained apartments(C3 use).",Yes,,,,,,,2018-04-01,2018-12-10
E06000041,Wokingham Borough Council,BR230,70A Waterloo Road Wokingham RG40 2JL,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,ETRS89,482513,168164,1.046368,not owned by a public authority,Yes,permissioned,full planning permission,2017-11-02,163387,,7,Full application for the proposed erection of 7no dwellings following demolition of existing dwelling.,No,,,,,,,2018-04-01,2018-12-10
