Organisation URL,Organisation Label,Site Reference,Land Type,Alt Site Reference,Previously Part Of,Site Name Address,Site Plan URL,Geo X,Geo Y,Hectares,Ownership Status,Deliverable,Planning Status,Permission Type,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Proposed Use,C2 (RI),C3 (H),C3 (HOP),C3 (SB/CB),Sui Generis,Other,A1,A2,A3,A4,A5,AA,B1,B2,B8,C1,D1,D2,Other.1,First Added date,Last Updated date,Part 2,Net Dwellings Range From,New Dwellings Range to,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/LAZ/0060,brownfield,13/0882,,"Former Egg Packing Station, Lazonby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/LAZ/0060,547000.0,396000.0,0.12,not owned by a public authority,Y,permission,reserved matters approval,2014-01-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=13/0882&ApplicationNumber=13%2F0882&AddressPrefix=&Postcode=&Submit=Search,,5.0,Demolition of redundant two storey steel framed building and construction of five new dwellings.,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CUL/0073,brownfield,LCU3,,"Lime Tree Farm, Culgaith, Penrith, CA10 1QW",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CUL/0073,360752.0,529656.0,0.76,not owned by a public authority,Y,,,,,,18.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/STA/0083,mixed,"01/0810, 17/0246",,"Greystone House, Stainton, Penrith, CA11 0EF",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/STA/0083,348528.0,528416.0,0.17,not owned by a public authority,,permission,full planning permission,2017-08-11,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=01/0810&ApplicationNumber=01%2F0810&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0246&ApplicationNumber=17%2F0246&AddressPrefix=&Postcode=&Submit=Search,,6.0,,,housing land,,,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/doc/district-council/eden,Eden District Council,17/KIN/0091,mixed,,,"Land at Hill Top Farm, Kings Meaburn",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/KIN/0091,362019.0,521059.0,0.84,not owned by a public authority,,,,,,,10.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/HBH/0099,brownfield,,,"Highbank Hill Farmstead, High Bankhill, Kirkoswald, CA10 1EZ",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/HBH/0099,355927.191707097,542296.542161398,0.2,not owned by a public authority,,,,,,,4.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/NEWS/0123,brownfield,17/0774,,"Land at Newbiggin, Blencow Quarry, Quarry Lane, Newbiggin, CA11 0DE",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEWS/0123,346536.0,530263.0,3.11,not owned by a public authority,Y,,outline planning permission,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=08/0731&ApplicationNumber=08%2F0731&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=09/0189&ApplicationNumber=09%2F0189&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0001&ApplicationNumber=11%2F0001&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0405&ApplicationNumber=12%2F0405&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0795&ApplicationNumber=12%2F0795&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0205&ApplicationNumber=17%2F0205&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0774&ApplicationNumber=17%2F0774&AddressPrefix=&Postcode=&Submit=Search,,20.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0127,brownfield,,,"Air Cadets and Scouts Hut, Friargate, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0127,351844.023659255,530194.845117265,0.148941093530992,not owned by a public authority,,,,,,,,,,housing land,,Y,Y,Y,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0128,brownfield,,,"Land at NBM Travel, Cromwell Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0128,351211.738784148,530031.706544937,0.418342417463536,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0209&ApplicationNumber=12%2F0209&AddressPrefix=&Postcode=&Submit=Search,,,,,employment land,,,,,,,,Y,,,,,Y,,,,,Y,,2017-12-01,,,,,,,,,
http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0343&ApplicationNumber=07%2F0343&AddressPrefix=&Postcode=&Submit=Search,Eden District Council,17/PEN/0129,brownfield,,,"PO Sorting Office, Crown Square, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0129,351628.046657267,529961.032037225,0.217245094348018,owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0343&ApplicationNumber=07%2F0343&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0130,brownfield,,,"Telephone Exchange, Friargate, Penrith, CA11 7XR",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0130,351846.956856395,530145.547499951,0.483728768291775,not owned by a public authority,,,,,,,,,,housing land,Y,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0131,brownfield,,,"Co-op Building, Burrowgate, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0131,351577.908641337,530269.993194965,0.186258719060446,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=05/1022&ApplicationNumber=05%2F1022&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0248&ApplicationNumber=15%2F0248&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0249&ApplicationNumber=15%2F0249&AddressPrefix=&Postcode=&Submit=Search,,,,,employment land,,,,,,,Y,Y,Y,Y,Y,Y,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0132,brownfield,,,"Old Fire Station, Bridge Lane, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0132,352069.36522837,529408.063581808,0.575385980717256,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/9001&ApplicationNumber=07%2F9001&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/9013&ApplicationNumber=10%2F9013&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0577&ApplicationNumber=14%2F0577&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0783&ApplicationNumber=14%2F0783&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0133,brownfield,,,"Richardsons Timber Merchants, Scotland Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0133,351121.150944849,530927.500089558,0.320740225149957,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0320&ApplicationNumber=12%2F0320&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/0779&ApplicationNumber=15%2F0779&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0134,brownfield,,,"The Waverley, King Street, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0134,351695.289884453,529973.06616286,0.014353444999965,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0678&ApplicationNumber=10%2F0678&AddressPrefix=&Postcode=&Submit=Search │ http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/0679&ApplicationNumber=10%2F0679&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,,,,,Y,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0135,brownfield,,,"HH Reeds Printers, Southend Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0135,351759.672531626,529769.300637223,0.157978892327183,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=15/1151&ApplicationNumber=15%2F1151&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0136,brownfield,,,"J Williams Tile Centre, Scotland Road, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0136,351086.129461001,530745.813646741,0.04592488376043,not owned by a public authority,,,,,,,,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/PEN/0137,brownfield,,,"Richardsons Timber Merchants, Roper Street, Penrith",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0137,351856.078738452,529829.32104828,0.241137236912572,not owned by a public authority,,,,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0949&ApplicationNumber=07%2F0949&AddressPrefix=&Postcode=&Submit=Search,,,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GLA/0138,brownfield,,,"Village Hall, Glassonby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/GLA/0138,357639.0,538854.0,0.1,not owned by a public authority,Y,,,,,,1.0,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/GLA/0139,brownfield,,,"Farmyard Adjacent Midtown Farm, Glassonby",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/GLA/0139,357769.0,538888.0,0.8,not owned by a public authority,Y,,,,,,9.0,,,housing land,,Y,Y,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CLK/0141,brownfield,,,"Clickham Inn Units, Clickham, Blencow",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CLK/0141,346687.0,530905.0,0.454181949560387,not owned by a public authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CRA//0142,brownfield,,,"Methodist Chapel, Crackenthorpe, Appleby, CA16 6AF",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CRA//0142,365544.61,522623.7,0.03960272509222,not owned by a public authority,Y,,,,,,1.0,,,housing land,,Y,,,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
http://opendatacommunities.org/id/district-council/eden,Eden District Council,17/CDY/0146,brownfield,,,"Land at Wetheriggs Pottery, Clifton Dykes, Penrith CA10 2DH",http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CDY/0146,355498.0,526254.0,1.6,not owned by a public authority,Y,,,,,,5.0,,,housing land,,Y,,Y,,,,,,,,,,,,,,,,2017-12-01,,,,,,,,,
