OrganisationURI,OrganisationLabel,Site Ref,PreviouslyPartOf,SiteNameAddress,SitePlanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,Ownership Status,Site Yes (within 5 years),Planning_Status_Reference,PermissionType,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2590,,"South of Cranford Street and Heath Street,
Smethwick",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,403701,288181,3.21,,,Permissioned,Other,2012,,No,113,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2625,,"Haden Cross Drive,
Cradley Heath",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,396177,285437,2.06,,Yes,Permissioned,Full,15.11.2017,,No,53,,,,DC/18/62094,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2712,,"50-52 Sandwell Road,
West Bromwich, B70 8TG",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400220,291688,0.21,,Yes,Permissioned,Full,13.07.2015,,No,11,,,,11 units under construction,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2820,,"Eastern Gateway Development Site
High Street
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,400868,290950,1.18,,,Permissioned,Other,,,No,45,,,,96 units completed,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2886,,"Site Of 18A Church Vale,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,401026,292349,0.05,,Yes,Permissioned,Full,30.11.2010,,No,6,,,,All under construction,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2893,,"Former Sunlight Laundry,
Standhope Road,
Smethwick,
B67 6HN",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,402053,287312,0.73,,,Permissioned,Other,2012,,No,40,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2908,,"Site Of 30-144 & Open Space,
Mounts Road,
Wednesbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,398944,294674,1.07,Not in Public Ownership,,Permissioned,Other,2012,,No,45,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2910,,"Leabrook Road/Willingsworth Road,
Tipton",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397662,294250,0.37,,,Permissioned,Other,2012,,No,13,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2918,,"Land at Junction of Black Lake and Swan Lane
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399475,292476,1.25,,Yes,Permissioned,Full,24.07.2017,,No,70,,,,All under construction,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2929,,"Site on corner of New Street,
Hill Top,
West Bromwich",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,399267,293095,1.11,Public Ownership,,Permissioned,Other,2012,,No,39,,,,Part SMBC and part private,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2931,,"Garage on Whitehall Road
Great Bridge",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397957,292268,0.14,,,Permissioned,Other,2012,,No,5,,,,,01/12/2017,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2933,,"Leabrook Road,
Wednesbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397552,294579,2.17,,,Permissioned,Other,2012,,No,76,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2934,,"Site on New Road,
Great Bridge",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397599,292756,0.40,,,Permissioned,Other,2012,,No,14,,,,,30/06/2016,30/06/2016,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2939,,"Lower City Road / Dudley Rd East,
Oldbury",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397809,290374,0.56,,,Permissioned,Other,2012,,No,20,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2940,,"Rattlechain Site Land to the north of
Temple Way,
Tividale",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,397529,291218,7.24,,,Permissioned,Other,2012,,No,322,,,,,30/06/2016,01/12/2017,
http://opendatacommunities.org/id/metropolitan-district-council/sandwell,Sandwell MBC,2942,,"Castle Street / High Street,
Tipton",http://www.sandwell.gov.uk/info/200317/planning_policy/3809/sandwell_brownfield_register,OSG36,395215,292122,0.66,,,Permissioned,Other,2012,,No,23,,,,,30/06/2016,01/12/2017,
