entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:CHW,GAQ/0024,"Raymond House and Diocesan House, Raymond Street, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828234,yes,not owned by a public authority,permissioned,full planning permission,,53.193362,-2.89837,0.05,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GRA/0010,"Council depot and garage court off Sutton Way, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828235,,owned by a public authority,not permissioned,,,53.276942,-2.910395,0.38,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GRA/0012(a),"Former school site (The Acorns Primary and Nursery), Pooltown Road, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828236,,owned by a public authority,not permissioned,,,53.280617,-2.917627,0.46,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GRA/0017,"Sutton Way, land adjacent to West Cheshire College, Regent Street, Ellesmere Port",http://consult.cheshirewestandchester.gov.uk/file/4828237,yes,not owned by a public authority,permissioned,full planning permission,,53.278559,-2.906905,3.59,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GRB/0034a,"Beechmoor Garden Centre / Shed sales, Whitchurch Road, Chester, Cheshire, CH3 5QD",http://consult.cheshirewestandchester.gov.uk/file/4828238,,not owned by a public authority,not permissioned,,,53.186827,-2.853217,0.93,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,GRB/0042,"Foxwood, Caldy Valley Road, Great Boughton Chester Cheshire CH3 5PR",http://consult.cheshirewestandchester.gov.uk/file/4828239,yes,not owned by a public authority,permissioned,full planning permission,,53.187241,-2.855619,0.2,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HAG/0028,"176 and 178 Chester Road, Northwich, CW8 4AL",http://consult.cheshirewestandchester.gov.uk/file/4828240,,not owned by a public authority,not permissioned,outline planning permission,,53.252652,-2.533731,0.1,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HAP/0030,"Land to rear of 45-51 Percy Road / 15-17 Eaton Road, Handbridge",http://consult.cheshirewestandchester.gov.uk/file/4828241,,mixed ownership,not permissioned,,,53.181807,-2.886875,0.29,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HAP/0032,"Land to rear of 2-14 Bradford Street, Handbridge, Chester",http://consult.cheshirewestandchester.gov.uk/file/4828242,yes,not owned by a public authority,permissioned,full planning permission,,53.18264,-2.8861,0.14,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HAP/0033,"Watertower off Eaton Mews, Handbridge",http://consult.cheshirewestandchester.gov.uk/file/4828243,,not owned by a public authority,not permissioned,,,53.181275,-2.889498,0.33,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HEL/0003,The Chase (Helsby)-Former Horse And Jockey Chester Road Helsby Frodsham Cheshire ,http://consult.cheshirewestandchester.gov.uk/file/4828244,yes,not owned by a public authority,permissioned,full planning permission,,53.277968,-2.761403,0.32,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HEL/0005(a),"INEOS Compounds UK Limited, Chester Road, Helsby",http://consult.cheshirewestandchester.gov.uk/file/4828245,yes,not owned by a public authority,permissioned,reserved matters approval,,53.265839,-2.7772,1.88,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HEL/0029(a),"MERE'S EDGE (Phase 4) site of existing Helsby Community Sports Club, between chester Road and Hornsmill Brook, Heslby",http://consult.cheshirewestandchester.gov.uk/file/4828246,,not owned by a public authority,permissioned,outline planning permission,,53.263806,-2.776024,1.6,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
,local-authority-eng:CHW,HOO/0013,"Hoole Lawn Tennis Club, Fairfield Road, Chester CH2 3RN",http://consult.cheshirewestandchester.gov.uk/file/4828247,yes,not owned by a public authority,permissioned,outline planning permission,,53.203855,-2.868901,0.4,,,2017-12-21,,eba7154272fb878308334ae6c4c5f38f5d9b27f10d5de5b781e55a67371737b2
